,asset,ret,bin
2024-01-04,PETR4_SA,0.037535690558015755,1.0
2024-01-05,PETR4_SA,0.032024825183647465,1.0
2024-01-08,PETR4_SA,0.0627113518345852,1.0
2024-01-09,PETR4_SA,0.060104900324402966,1.0
2024-01-10,PETR4_SA,-0.02781451501034604,-1.0
2024-01-11,PETR4_SA,-0.0635670606177855,-1.0
2024-01-12,PETR4_SA,-0.03536805924725828,-1.0
2024-01-15,PETR4_SA,-0.057024509182899474,-1.0
2024-01-16,PETR4_SA,-0.04934371605098398,-1.0
2024-01-17,PETR4_SA,0.13252372717845584,1.0
2024-01-18,PETR4_SA,0.13146007547760385,1.0
2024-01-19,PETR4_SA,0.12709844225344114,1.0
2024-01-22,PETR4_SA,0.13236042814549043,1.0
2024-01-23,PETR4_SA,0.12391935071035398,1.0
2024-01-24,PETR4_SA,0.12697970351522536,1.0
2024-01-25,PETR4_SA,-0.06822827708184898,-1.0
2024-01-26,PETR4_SA,-0.09259277917107112,-1.0
2024-01-29,PETR4_SA,-0.09908792787576415,-1.0
2024-01-30,PETR4_SA,-0.0734127846612237,-1.0
2024-01-31,PETR4_SA,-0.07630025304812771,-1.0
2024-02-01,PETR4_SA,-0.14241035879339303,-1.0
2024-02-02,PETR4_SA,-0.1311235341610104,-1.0
2024-02-05,PETR4_SA,-0.13491861896480983,-1.0
2024-02-06,PETR4_SA,-0.14282268074330007,-1.0
2024-02-07,PETR4_SA,-0.1303315882169953,-1.0
2024-02-08,PETR4_SA,-0.12326795491370468,-1.0
2024-02-09,PETR4_SA,-0.1368036441129199,-1.0
2024-02-14,PETR4_SA,-0.13027552275828813,-1.0
2024-02-15,PETR4_SA,-0.13238780555977692,-1.0
